agenda A J EN D A
alors A L OH R
ball B O L
basketball B A S K EH T B O L
beach B I T CH
bref	B R EH F
center S EH N T OE R
c'hamembert X A M AN B EH R
c'hluster X L OE S T OE R
cookie K OU K I
cookies K OU K I Z
cool K OU L
covid K O V I D
dvdoù D E V E D E OU
elixir E L I K S I R
enfin	AN F EN
ev E V
expo E K S P O
fashion F A CH OE N
forum F O R OH M
friendly F R EH N D L I
glev G L E V
gmail J E M EH I L
guñv G U
hacker A K OE R
haïku	A I K OU
hammam A M A M
hañv AN
hardcore A R D K OH R
hashtag A CH T A G
hop H OH P
house H A OU S
hoverboard O V OE R B OH R D
iphone A I F OH N
kamembert K A M AN B EH R
kenvev K EH N V E V
klev K L E V
kluster K L OE S T OE R
kuñv K U
leader L I D OE R
madame	M A D A M
mademoiselle	M A N O A Z EH L
mais M EH
maison M EH Z ON
marshmallow M A R CH M A L O
master	M A S T OE R
menam M EU N A M
meump M OE M
mmmh M M M
neuint N OE N
oliv	O L I V
open O P EH N
ouais W EH
pass P A S
peotramant	P E T R A M AN N
piv	P I W
pub	P OE B
reggae R E G E
replay R I P L EH
rideozioù R I D O CH OU
rideoz R I D O CH
rock'n'roll R OH K EH N R OH L
rock R OH K
scotch	S K OH T CH
short CH OH R T
shortoù CH OH R T OU
sistr	CH I S T R
sistr	J I S T R
skateboard S K EH T B OH R D
slash S L A CH
streaming S T R I M I N G
style S T A I L
the Z EU
the Z OE
tiny T A I N I
tisane T I Z A N
top T OH P
traoù	T R A W
tshirtoù	T I CH OE R T OU
tshirt	T I CH OE R T
volley V O L EH
web W EH B
whisky W I S K I
world W OE R L D
