abalamour	A B L AN M
abalamour	B L AN M
abaoe	B A O E
ac'hanout	E X AN V T
ac'hanta	X AN N T A
aet E D
all	A R A L
all	EH L
amann	A M AN N EH N
amezeg A M E Z OH K
anavezout AN N E V
anezhañ	N AN
anezhañ	N E AN
anezhañ	N EN
anezhe	N E
anezhe	N EH
anezhe	N EU
anezhi	N EH I
anezho	N E O
aodoù	A O CH OU
arc'hant	A R G AN N T
arc'hant A R G A N T
arouezioù	A R OU E CH OU
arri A I
asambles	S AN M E S
avaloù	A W L OU
avat H A T
aze A E
aze A H E
azezet	A J E E T
barradoù B A R A J OU
bemdez	B AN M D E
bemdez B EH M D E
bennak B OE N A K E T
benveg	B EN V E G
bep	B OH P
bepred B A P R EH T
bepred B OH P OE T
bepred B O P R EH T
betek	B EH K E T
betek B E K OE T
betek	B E T A
betek 	B E T A K
betra B E R
bezañ B E H AN
bezañ B EY OE
bezañ	B I
bez B E
bezhin	B E J I N
bezit	B E I T
bihan B I N
bleuñv B L EU N
blij	B L I J A
bloavezhioù B L O A V E CH OU
bravoc'h B R A W OH X
bremañ	B R O M A N
brenañ	B R E N O
buan	B U N
buhez B U H E
cheñchamantoù	CH EN CH A M AN CH OU
chistr CH I S T
c'hlezioù	X L E I OU
c'hoadoù X O A J OU
chom	J O M
chomont CH O M A I N T
c'houlenn X OU L
c'hounez	X O N E A
c'houzout	X OU T
c'hwec'h    F EH X
c'hwezek    F E Z E K
c'hwezhañ	X W E I O
c'hwi F I
da D OE
dalc'hmat	D EH X M A D
dalv	D A L A
dalvez	D A L V E A
debret D R E B E T
debriñ	D I B I
degemer	D I G E M EH R
deiz	D E
deoc'h D OH X
deomp	D I M P
deuet D EU T
deus	D EU
devezh D EH R V E Z
devezhioù D EH R V E CH OU
dezhañ	D AN
dezhañ	D E AN
diaes	D I E Z
diaesoc'h	D I E S O X
digant D I G AN N
digarez D I G A R E
digresket	D I G R E CH K E T
din D EN
din	D I M
dinosaored	D I N O Z O R E T
diouzh D A X
diskar	D I CH K A R
d'ober D OH R
d'oe D O E
eas	H EH S
ebet B E T
ebeul	EU B EU L
echu	A CH U
echuiñ	A CH U I
efedoù	E F E J OU
e	I N
ekonomiezhioù	E K O N O M I E CH OU
emaint	M A I N T
emañ M A
emañ M AN
emaoc'h M A OH X
emaoc'h M OH X
emaomp M A ON M P
emaon M A ON N
emaon	M ON N
emaout M A OU T
emaout	M OU T
emezañ	M AN
emezañ	M EN
emezi M EH I
eñ E ON
energiezhioù	E N EH R G I E CH OU
eñ	I AN
eno	E N A
eo E
eomp	H AN M P
erru	A I
erru	A R I
erru	A R U
erruas	A R I A S
erruet	A R U E T
erruout	A R I OU T
eurediñ	EU R EU J I
evel	EH R
evel	V EH L
evidoc'h V I D OH X
evidon V I D ON N
evidon	W I D I M
evit E W I T
evito V I T E
evito V I T O
evit V I T
ezhomm E M
ezhomm H E M
ezhomm I M
faktour	F A K T EU R
gallout G A L
ganeoc'h	G AN N A X
gant	G A
gant G AN N
gastelodenn G A S T EU R O L EH N
gavas	G A V EH S
gav	G A W A
gavout	G A D
geometrek	J E O M E T R I K
gêr	I E R
goare O A R E
gouezet G OU I E T
goulennet	G OU L T
goulenn	G OU L
gouzoug	G OU G
gouzout G OU T
grampouezhenn	G R AN M P OU EH N
grampouezh G R AN M P OU Z
gwelet G W EH L
gwenodennoù G W E N O J EH N OU
gwin V I N
gwirionez	G W I R I ON N E
gwrizienn G R I EH N
gwrizioù G R I OU
hanter AN N T EH R
hardizh	H A R D I
heiz H EH I
hemañ H E M
hennezh H EN Z
hentoù	EN CH OU
hentoù H E N CH OU
hini	A I N
hini	H OU EN
hini	N I
hiziv	H I O
hiziv	H I OU
hiziv	H I R I E
hiziv	H I R I O
hiziv	U D U
holen	H O A L EH N
honnezh H ON Z
honnezh H OU Z
houmañ H OU M
itron	I N T R ON N
ivez I E
ivez I V E
#ivez OE
ivez U E
izeloc'h	I J EH L OH X
kachimant K A I M AN N
kaer K E R
kaozeen	G O J EH N
kaozeal	G O J E A L
kaoz	K O Z
karantez	K A R AN N T E
kavas	K A V EH S
kavout	K A D
kleñvedoù	K L EN V E J OU
koadoù	K O A J OU
koubladoù	K OU B L A J OU
kouezho	K OU EY O
krampouezhenn	K R AN M P OU EH N
krampouezh K R AN M P OU Z
kreñv K R EN ON
kresket	K R E CH K E T
kriz K R I
labour	L A B OU R A
laosket	L E S K E T
laosket	L O S K E T
lavaras	L A R A S
lavare	L A R E
lavare	L A R EH
lavaret	L A R E T
lavarfe	L A R CH E
lavarfe	L A R F E
lavar	L A R
lavaro	L A R O
lavnenn	L A ON N EH N
lazhañ L A X AN
lazhet L A X E T
le L EU
lerc'h	L E A X
loen L ON N
lojañ	L ON J AN
lojet	L ON J E T
louet	L OU D
