ac'ha
ah
aïe	A I
aiou
alato
allaz
allez	A L E
allo
alors	A L OH R
badadaou
bah	B A
beh	B E
beñ	B EN
bof	B OH F
boh
boñ	B ON
bouh
boum
cool	K OU L
dadadaou
dibedap
dibedip
dibedoup
ebah	E B A
ebeñ	E B EN
eh	EH
enfin	AN F EN
euh	EU
euhm	OE M
feñ	F EN
gloup
hañ	H AN
heho
hei
heitou	H EH I T OU
heñ	EN
hey
hmm	M M
holala	OH L A L A
hopala
hop	H OH P
hop	H OH P
hopla
hopopop	H OH P OH P OH P
houpala
houpla
hum
kwa	K W A
mais	M EH
menam	M EU N A M
oh
ola
olala
opala
ouah
ouf
ouh
oulala
oups
paf
peuh	P EU
pff	P F
pfiou
ploup
tchik
tieñ
tiens	T I EN
vloup
voilà	V O A L A
waah	W A A
waouh	W A W
woah	W O A A
wow	W OH W
youpla
