abadenn
abrant
adstêr
afrikanez
amzer
amzer-verb
anadenn
annoar
aotenn
aotrouniezh
aozenn
aradennad-venezioù
araogenn
arc'h
arguzenn
arme
armead
arnodadenn
arouez
arouezenn
arvrec'h
arzorn
bag
bakterienn
bandenn
baraenn
baronelezh
barrenn
barvenn
bazh
beaj
beol
bered
bervenn
biñs
bleunienn
bodadeg
bodadenn
bombezenn
bonreizh
boulig
bourc'h
boutailh
boutailhad
brec'h
breuriezh
brigadenn
bro
broad
broadelezh
bronn
bruskenn
buhez
chadenn
chapel
c'hoar
chomadenn
danevell
dastumadeg
delwenn
dilennadeg
diskouezadeg
doare
dor
doueelezh
doueez
dourredenn
dousennad
dremm
dugelezh
eeunenn
eiladenn
eilenn
eizhvedell
eizhvedenn
elfenn
emzivadez
enez
enezeg
enezenn
enezennig
eur
eured
euriad
eurvezh
familh
farsadenn
fonksion
frazenn
frekañs
fron
furm
gar
gavr
gazel
godell
gorreenn
grizienn
gwagennad
gwagrenn
gwalenn
gwareg
gwareg-volz
gwask
gwastell
gwech
gwerenn
gwerennad
gwern
gwerzenn
gweuz
gwezenn
gwezh
gwiadenn
gwirionez
gwreg
gwrizienn
hanterc'hoar
hanterenn
hanterenn-ilpenn
hanter-sferenn
hinienn
ijinadenn
iliz
iliz-veur
impalaeriezh
islavarenn
isrannyezh
ivinenn
izelenn
jaritell
jod
kador
kador-gloz
kalon
kalonenn
kalotenn
kambr
kambr-lezenniñ
kanaouenn
kanerez
kanol
kaoter
kar
karantez
karg
karreg
kartenn
kavadenn
kazetenn
kazhez
kefridi
kelaouenn
kellig
kenstrivadeg
kentel
kenyezh
keoded
kêr
kêr-benn
kêrbenn
kerc'heiz
kêriadenn
kevredigezh
kevredigezh
kevrenn
kevrennad
kiez
kigenn
kinnigadenn
kleizhenn
klipenn
kloer
kolonenn
kompagnunezh
komz
kontelezh
kontell
kordenn
kostezenn
kouenn
kredenn
krenadenn
kreskenn
kribenn
kroaz
krogen
kudenn
kumun
kumuniezh
kurunenn
lagad
laonennig
lavarenn
lec'hienn
ledennad
lenn
leurenn
leurenn-zouarañ
levrenn
lez
lezenn
linenn
liñsel
liseadez
listenn
listennad
lizherenn
lizherenneg
loa
loaiad
loarenn
lodenn
louzaouenn
lu
luc'hskeudenn
luskad
maeronez
mamm
mamm-baour
mammenn
mamm-gozh
manifestadeg
maouez
martezeadenn
medalenn
melestradurezh
ment
mentad
merc'h
merc'hig
merc'hodenn
mestrez
micher
mignonez
milin
mizvezh
moereb
moger-dro
mojenn
morzhed
mouezh
mourrenn
munutenn
muzell
muzez
naer
neudenn
nijadenn
niverenn
niveridigezh
nizez
notenn
nouez
noz
nozvezh
oberenn
obererezh
oferenn
ostaleri
oto
oueliadur
pajenn
pajennad
panell
paner
paourez
parez
parrez
patatezenn
pazenn
pempvedenn
pennaenn
pennlizherenn
pennrann
petalenn
pinijenn
plac'h
pladenn
plakenn
plantenn
pluñvenn
pobl
poblad
prezegenn
prezidantelezh
pried
priñselezh
priñsez
promes
promesa
rann
rann-vloaz
rannvloaz
rannvro
rannyezh
redadeg
reizh
reizhiad
relijion
renkennad
reolenn
republik
restr
reve
roc'h
rod
rodig-kentr
rouanez
rouantelezh
rouantelezhig
roudenn
roudennad
rouedad
rubrikenn
rummad
saezh
Saozez
savenn
seizenn
serc'h
seurt
sevenadurezh
sez
silabenn
simbalenn
sizhun
sizhunvezh
skeudenn
skeul
skiant
skipailh
skoaz
skodenn
skol
skol-veur
skouarn
skouarnig
skouer
skouerenn
skourr
skritell
sorserez
souezhadenn
stad
stadig
stagell
stal
stal-levrioù
stank
stêr
steredenn
steredennig
stêr-veur
stivell
stokadenn
stourmadenn
strinkadenn
surentez
tachenn
tachennad
takenn
talbenn
talvoudegezh
taol
taoladenn
taolenn
tavarn
teltenn
testenn
testenn-studi
tezenn
toenn
tonenn
torgenn
traezhenn
traonienn
traoñienn
tredanerez
trederenn
trevadenn
tro
tro-anvioù
tro-c'hed
troiad
troiadig
troidigezh
trovan
tuchenn
tudenn
turzhunell
ufern
uhelder
uhelenn
urzh
vaot
varennig
vertuz
vodadeg
vogalenn
wech
werz
wezh
yalc'h
yezh
yuzeviezh
zonenn
