Abernod
Abgrall
Abherve
Abiven
Abjean	A B J AN
Abolier
Abyann
Adeux	A D EU
Alan
Alaoured
Allod
Aloued
Alvarez
Andouard
Andre
Aneval
Anuhel
Aofred
Aotred
Aour
Apere
Apprioù
Appriou	A P R I OU
Argouarc'h
Armstrong
Auffret	O F R EH T
Avanant	A V A N AN
Avril
Azoulay	A Z OU L EH
Bailh
Bakon
Balc'h
Balp
Baraer
Barazher
Bargil
Baron
Barveg
Barz
Bastioù
Baudu	B O D U
Beaufort	B O F OH R
Beauvir	B O V I R
Belegig
Bellec	B E L EH K
Bellour
Beloni
Berger	B EH R J E
Bernard	B EH R N A R
Bernier	B EH R N I E
Bernikot
Berry B E R I
Berteleme
Bertevaz
Berthou	B EH R T OU
Bertou
Beyer	B E I EH R
Bezvoed
Bihan	B I AN
Bihanig
Bihannig
Bijer	B I J EH R
Bizien	B I Z I EN
Blanchet	B L AN CH EH
Bleunven	B L OE N V EH N
Blevec	B L E V EH K
Boché	B O CH E
Bodivit
Bollore B O L O R E
Bon
Borgn
Borgne	B OH R GN
Bouard	B OU A R
Boudehen
Bouder
Bouessel	B OU E S EH L
Bougenneg
Bouguennec	B OU G E N EH K
Boulanger	B OU L AN J E
Boulc'h
Boulic	B OU L I K
Boulig
Bourc'hiz
Bourdonnay	B OU R D O N EH
Bouroulleg
Bouvier	B OU V I E
Bowen	B O W EH N
Bozec	B O Z EH K
Bozeg
Branelleg
Bras
Brassens	B R A S EN S
Braz
Breton
Briant
Briz
Broudic	B R OU D I K
Broustal
Brun	B R EN
Buannic
Buhé	B U H E
Cadiou K A D I OU
Caignard	K E N I A R
Calabria	K A L A B R I A
Callas	K A L A S
Calvez	K A L V E S
Caouissin	K A OU A S EN
Cariou	K A R I OU
Caroff	K A R OH F
Carré	K A R E
Cassini	K A S I N I
Chantreau	CH AN T R O
Chantreau CH AN T R O
Chaovel
Chapalain	CH A P A L EN
Charbonneau	CH A R B O N O
Chartier	CH A R T I E
Chauffin	CH O F EN
Chavez	CH A V EH Z
Chesnais CH EU N EH
Chirac CH I R A K
Chirak
C'hoadig
C'horr
C'hwiban
Cleef	K L EH F
Coat	K O A T
Cochran	K O K R AN N
Collic	K O L I K
Collins	K O L I N S
Conanec K O N AN N E K
Conan K O N AN
Corlet	K OH R L EH
Coroller	K O R O L EH R
Corre K OH R
Coum	K OU M
Coz
Creston	K R E S T ON
Croguennec	K R O G E N EH K
Daeron
Dall
Daniellou
Danielloù
Danteg
Darwin
Dean
Debray	D EU B R EH
Delande	D EU L AN D
Denez
Deniau	D E N I O
Derrien
Desbordes	D E B OH R D
Dickens	D I K EH N S
Dirodollou
Donarzh
Dorrington
Douarinoù
Douerin
Doujet	D OU J EH
Dreo
Drevez
Drezen	D R E Z EH N
Drian	D R I AN
Druz
Du
Dualenn
Duff	D U F
Duigou
Dumont	D U M ON
Duval
Ebrel
Eiffel E F EH L
Einstein	E I N CH T A I N
Ela
Elegoued
Eukat
Evenad
Favereau	F A V R O
Favreau	F A V R O
Fayard	F A IA R
Fer
Ferelleg
Fergog
Ferrari
Feunteun
Fichant
Fillon	F I LH ON
Fitaman
Flaubert	F L O B EH R
Floc'h
Floch F L OH K
Fluteg
Follezoù
Fontanella
Foulon F OU L ON
Fresnes F R EH N
Freud
Froter
Fujiwara
Furic	F U R I K
Fustec F U S T EH K
Gabin	G A B EN
Gag
Gall
Galloudeg
Gardien	G A R D I EN
Gareg
Garrec	G A R EH K
Gaudart	G O D A R
Gauguin	G O G EN
Gaulle	G O L
Gentile	J AN T I
Gever
Gibson	G I B S OH N
Gicquel	J I K EH L
Giono	J I O N O
Giovanni
Girard	J I R A R
Glaouiar
Glenmor
Gloagen
Gloagen	G L O A G EN
Gloanec	G L O AN EH K
Goachet
Goater
Gobain	G O B EN
Godeg
Goelo
Goff
Gogh	G OH G
Goneri
Gonidec G O N I D EH K
Gonideg
Gorreg
Gouedard	G OU E D A R
Gouez
Gouranton
Gourmelen
Gourriereg
Gourvenneg	G OU R V E N EH K
Gourvez
Gov	G O
Govig
Gradlon
Grall
Grand	G R AN
Greta
Griffith	G R I F I S
Grimault	G R I M O
Grob	G R OH B
Grouin	G R OU EN
Guegan G E G AN N
Gueguen	G E G EN
Guennec	G E N EH K
Guennoc G E N OH K
Guerin	G E R EN
Guérin G E R EN
Guerveno G EH R V E N O
Guichen	G I CH EH N
Guillamot G I A M O
Guillanton	G I AN T ON
Guillemot G I M O
Guillevic	G I L V I K
Guillou	G I LH OU
Guilloux	G I OU
Guitton	G I T ON
Guyomard	G I O M A R
Gwadeg
Gwaog
Gwazioù
Gwegan
Gwegen
Gwegenoù
Gwenn
Gwennoù
Gwern
Gwernig
Gwezbriant
Gwichard
Gwilcher
Gwilhoù
Gwinamant
Habask
Hamon
Heliaz
Hellou
Hemeri
Hemingway
Hemon
Henaff	E N A F
Henañ
Henriot	AN R I O
Herrera
Herve
Hilaer
Hinault	I N O
Hingant
Hir
Hirrien	H I R I EH N
Hirrien	H I R I EN
Holmes	H OH L M S
Hulot	U L O
Huneau	U N O
Huon	U ON
Hupel	U P EH L
Hussein	U S EH I N
Irien
Ivineg
Jacq	J A K
Jaffre	J A F R E
Jaffrennou
Jafre
Jafrenoù
Jago
Jak
Jakob
Jaouen
Jego
Jegoù
Jenkins	D J EH N K I N S
Jestin	J E S T EN
Jezegoù
Jigant
Johnson	D J OH N S OH N
Jospin	J O S P EN
Jouan
Jouitteau	J OU I T O
Jourdain	J OU R D EN
Jourdan
Jourdren
Jugan	J U G AN
Kabon
Kadiou
Kadored
Kaer
Kalvarin
Kalvez
Kant
Karioù
Kelenn
Kelenneg
Kelleg
Kemere
Kened
Kenkiz
Kerangevenn
Keranglaz
Keravel
Kerbrad
Kerdevez
Kerdraon
Kere
Kerebel
Kerezeg
Kergall
Kermarreg
Kermoal
Kernalegenn
Kerneiz
Keromen
Kerouac	K E R OU A K
Kerrain	K E R EN
Kersaliou
Kersaozon
Kerscaven	K EH R S K A V EH N
Kerspern
Kersulec	K EH R S U L E K
Kervarker
Kervella
Kervern
Kervin
Kerwegan
Kevareg
Kidna
Kiniou
Kintin
Kivoron
Klaod
Kleuzou
Kloareg
Kloastr
Koadig
Koadrioù
Koarigou
Koline
Kolomb	K O L ON
Konan
Korbell
Koroller
Korr
Koulouarn
Kozh
Krafer
Krenn
Krevier
Kudon
Lacombe	L A K ON B
Laden
Laenneg	L A E N EH K
Lagadec	L A G A D EH K
Lagadeg
Lagadic	L A G A D I K
Lang
Lannuzel
Laot
Larvol	L A R V OH L
Latimier	L A T I M I E
Launay	L O N EH
Lavanant	L A V A N AN
Lavign	L A V I GN
Lay	L EH
Lebesque	L EU B EH S K
Leborgne L EU B OH R GN
Lebrun L EU B R EN
Leclerc L EU K L EH R
Leroux	L EU R OU
Leroy	L EU R O A
Leskoad	L E S K O A T
Leskoneg
Lesvenan	L E S V E N AN
Lincoln	L I N K OH L N
Loaeg
Loaek
Loizel	L O A Z EH L
London
Lossec	L O S EH K
Losteg
Louarn
Lovecraft	L OH V K R A F T
Lozac'h
Luther
Machado	M A T CH A D O
Macintosh	M A K I N T OH CH
Mackintosh	M A K I N T OH CH
Macron	M A K R ON
Mad
Madec	M A D EH K
Madeg	M A D EH K
Madero
Magerez
Mahe
Malgorn
Malivel	M A L I V EH L
Malmanche	M A L M AN CH
Manac'h
Mansard	M AN S A R
Maout
Maradona
Marcel	M A R S EH L
Marc'hadour
Marchand	M A R CH AN
Marc'heg
Marley	M A R L EH
Massiot	M A S I O
Masson	M A S ON
Maupassant	M O P A S AN
Menardeau	M E N A R D O
Menard	M E N A R
Mengi
Men	M EH N
Menn
Mest
Meulan
Mevel
Meynier	M E N I E
Michelet	M I CH L EH
Michelin	M I CH L I N
Mickey	M I K EH
Milin
Minouz
Miossec	M I O S EH K
Mitterrand	M I T E R AN
Moal
Moan
Moc'haer
Modigliani
Mogn
Molac	M O L A K
Monod
Montjarret	M ON J A R EH
Mordrel
Morgannou
Morris	M O R I S
Morvan
Moulleg
Mouradova
Musset	M U S EH
Nedeleg
Netanyahou	N E T A N YA H OU
Newark
Newton	N I OU T OH N
Nobel	N O B EH L
Normand	N OH R M AN
Obispo
Oillo	O A L O
Olieroù
Oliviero
Olivier	O L I V I E
Ollivier	O L I V I E
Omnez
Orwell	OH R W EH L
Owen	O W EH N
Ozhac'h
Palut	P A L U
Paoli
Papin
Parantoen
Pasteur	P A S T EU R
Paton
Pearson	P I R S OH N
Peaudecerf	P O D S EH R
Pelier
Penneg
Pennorzh
Pen	P EH N
Penseg	P EN S EH K
Perrot
Peton
Pichon
Pineau	P I N O
Piriou
Pluskelleg
Poc'han
Poder
Pogamm	P O G A M
Pompidou
Pontkalleg
Posteg
Postig
Potter P O T OE R
Poulidor	P OU L I D OH R
Poutine P OU T I N
Preden	P R E D EH N
Prigent P R I J AN
Prijant P R I J AN
Priol	P R I OH L
Priziac	P R I Z I A K
Quinquis	K EN K I S
Rio
Riou
Rioù
Rivoli
Roberts
Rolland	R O L AN
Roparzh
Roudaut	R OU D OH T
Roue
Rousseau	R OU S O
Rouz
Rouzo
Roy	R O A
Rozeg
Rozmor
Ruellan	R U E L AN
Ruied
Russell	R U S EH L
Ruyet	R U I EH
Sarkozy	S A R K O Z Y
Savidan
Schwarzenegger CH W A R Z E N E G EH R
Scully	S K OE L I
Seite	S EH I T E
Sérusier	S E R U Z I E
Servat	S EH R V A
Sezneg	S E Z N EH K
Siberil
Sibéril	S I B E R I L
Simon	S I M ON
Sinatra
Skouarneg
Sohier	S O I EH R
Soubigou
Soutre
Spernenn
Stalin
Stevenson	S T I V EH N S OH N
Stoll	S T OH L
Talec	T A L EH K
Taleg
Tangi	T AN G I
Teuff	T OE F
Thépaut	T E P O
Thomin	T O M EN
Thoraval	T O R A V A L
Thunberg	S EU N B EH R G
Tiersen	T I EH R S EH N
Tilly	T I L I
Tolkien	T OH L K I EH N
Tolstoy	T OH L S T OH I
Toser
Touboulig
Tourelloù
Touzé	T OU Z E
Tremel	T R E M EH L
Treusier
Troadec	T R O A D E K
Troadeg
Troude
Truffaut	T R U F O
Trump	T R OE M P
Trung
Uguen	U G EN
Valle	V A L E
Valls	V A L S
Vangberg	V AN N B OE R G
Vassalo	V A S A L O
Vinci	V EN S I
Vinci	V I N CH I
Vivaldi
Voltaire	V OH L T EH R
Voynet V O A N EH
Wagner	V A G N EH R
Walter	W A L T EH R
Wanasky	W A N A S K Y
Watson	W A T S OH N
Weber	W E B EH R
Yaouank
Zola
