Akitania
Alabama
Alambra
Alaska
Albania
Alençon	A L AN S ON
Alesia
Alexandria	A L EH K S AN D R I A
Alpoù
Alre
Altai	# Menezioù e Azia
Amazoni
Amazonia
Amman	A M A N	# Kêrbenn Jordania
Amsterdam A M S T EH R D A M
Andalouzia
Angkor
Anjou	AN J OU
Aragon	A R A G ON
Are
Argoad
Arkadia
Arkansas
Armorika
Arvor
Arvorig
Aveyron	A V E R ON
Azia
Baltimore B A L T I M OH R
Banaleg
Banaleg B AN L E K
Bangkok
Barcelona B A R S E L O N A
Bastille	B A S T I
Bavaria
Bear
Belfast
Berlin
Berrepoz
Berrien
Bethleem	B E T L E EH M
Betleem	B E T L E EH M
Bihar
Bihoue
Bogota
Bolonia
Boneur
Boston	B OH S T OH N
Bourdel
Brabant
Breizh
Brenniliz
Brest
Britannia
Brusel B R U S EH L
Burgos
Calvados	K A L V A D O S
Cherbourg	CH EH R B OU R
Chiapas
Chicago	CH I K A G O
Cosenza K O S EH N Z A
Dinarzh D I N A R
Dinarzh D I N A R Z
Dineol
Douarnabad
Douarnenez
Ebro
Elorn
Elzas
Essex	E S EH K S
Eusa
Euskadi
France	F R AN S
Frankia F R AN K I A
Friesland
Galilea
Gouezeg
Gourenez
Gourin
Granada
Groenland	G R O EH N L AN N D
Gwadaloup
Gwaien
Gwened
Gwilun
Haifa
Hollywood	H O L I W OU D
Jena
Jharkhand	D J A R K AN D
Kerichen	K E R I CH EH N
Krakovia
Kreizdouar
Lambal
Landeda
Landelo
Landerne
Landevenneg
Landreger
Landudal
Landunvez
Langedig
Langoet
Langolen
Langoned
Langristin
Langroez
Lanhouarne
Lannarvili
Lanneanoù
Lannedern
Lanneur
Lanneured
Lanneven
Lannevez
Lannildud
Lanniliz
Lanninon
Lanniron
Lanniskad
Lannuon
Lazio
Letavia
Levallois	L EU V A L O A
Lilia
Livorno
Lokireg
Makao
Mekong
Molenez
Montparnasse	M ON P A R N A S
Montreuil	M ON T R OE I LH
Nevada
Oaxaca	O A X A K A
Okeania
Okinawa
Okitania
Oriant
Osaka
Oxford	OH K S F OH R D
Pariz
Parma
Pempont
Pempoull
Penmarc'h
Pennsylvania
Perroz
Piemonte
Plabenneg
Pleiber P L E B EH R
Plerin
Pleskob
Pleuwigner
Plevin
Plistin
Plogastell
Plogoneg
Ploneiz
Plonevez
Plouan
Plouared
Plouarzhel
Ploubêr
Ploudiern
Ploudon
Ploue
Plouedern
Ploueg
Plouenan
Ploueskad
Ploufragan
Plougadvan
Plouganoù
Plougastell
Plougêr
Plougerne
Plougernevel
Plougin
Plougoñ
Plougonvelen
Plougonven
Plougonveur
Plougonwaz
Plougouloum
Plougouskant
Plougouvelen
Plougraz
Plouha
Plouharnel
Plouhern
Plouider
Plouigno
Plouilio
Plouizi
Plouneour
Plounerin
Plounevez
Plounevezel
Plourac'h
Ploure
Plourin
Plourivoù
Plouvagor
Plouvalae
Plouvien
Plouvorn
Plouyann
Plouzane
Plouzelambr
Plouzeniel
Plouziri
Ploveilh
Ploveren
Ploveur
Plozeved
Plufur
Pluguen
Pluhernin
Pluigner
Pluskelleg
Plusquellec	P L U S K E L EH K
Pluvergad
Plymouth	P L I M OU S
Poc'hêr
Poitou	P W A T OU
Pompei
Pondi
Pondichery
Poñvel
Porspoder
Portland	P OH R T L AN N
Poullann
Poullaouen
Poulloger
Pourlet
Provañs
Puglia
Roazhon
Roazhon	R A ON N
Rosko
Rosporden
Rostren
Rostrenenn
Sahara
Sahel
Saint-Germain-des-Prés	S EN J EH R M EN D E P R E
Salzburg
Samos
Santeg
Sardinia
Sevilla	S E V I LH A
Siberi
Siberia
Sisjordania
Skaer
Skandinavia
Skrigneg
Skrigneg	S K R I GN A K
Stockholm	S T O K OH L M
Stonewall	S T O N W OH L
Strasbourg	S T R A S B OU R
Suez
Sumbawa
Surinam
Sveden
Tahiti	T A I T I
Taiwan
Tanzania
Tokio
Torino
Toronto T O R ON T O
Toulon	T OU L ON
Toulon	T OU L ON
Treger
Trehou
Tremargad
Tremenac'h
Treoure
Trevare
Treveur
Trevezel
Trewineg
Trielen
Ushuaïa	OU CH W A I A
Vande
Verdun	V EH R D EN
Vermont	V EH R M ON
Verona
Vichy	V I CH I
Vienna
Washington	W A CH I N G T OH N
Wened
Westfalia
Winchester
York	I OH R K
